_id,SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
401760,401760,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,15-11-2022 12:00,-22.448
401759,401759,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,15-11-2022 06:00,-22.472
401758,401758,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,15-11-2022 00:00,-22.469
401757,401757,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,14-11-2022 18:00,-22.476
401756,401756,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,14-11-2022 12:00,-22.457
401755,401755,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,14-11-2022 06:00,-22.469
401754,401754,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,14-11-2022 00:00,-22.46
401753,401753,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,10-11-2022 18:00,-22.462
401752,401752,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,10-11-2022 12:00,-22.445
401751,401751,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,10-11-2022 06:00,-22.459
401750,401750,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,10-11-2022 00:00,-22.457
401749,401749,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,09-11-2022 18:00,-22.466
401748,401748,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,09-11-2022 12:00,-22.448
401747,401747,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,09-11-2022 06:00,-22.468
401746,401746,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,09-11-2022 00:00,-22.459
401745,401745,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,07-11-2022 18:00,-22.472
401744,401744,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,07-11-2022 12:00,-22.457
401743,401743,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,07-11-2022 06:00,-22.474
401742,401742,Attibele_1,Karnataka GW,29,Karnataka,525,Bangalore Urban,-,-,-,-,-,-,-,-,-,12.77878056,77.77267222,883.00,07-11-2022 00:00,-22.468
